agency_cd,site_no,Date,temp_C,month,year
USGS,14166000,2010-06-01,12,Jun,2010
USGS,14166000,2010-06-02,11.3,Jun,2010
USGS,14166000,2010-06-03,10.5,Jun,2010
USGS,14166000,2010-06-04,10.6,Jun,2010
USGS,14166000,2010-06-05,11,Jun,2010
USGS,14166000,2010-06-06,11.2,Jun,2010
USGS,14166000,2010-06-07,11.8,Jun,2010
USGS,14166000,2010-06-08,11.7,Jun,2010
USGS,14166000,2010-06-09,11.5,Jun,2010
USGS,14166000,2010-06-10,11.3,Jun,2010
USGS,14166000,2010-06-11,11.3,Jun,2010
USGS,14166000,2010-06-12,12,Jun,2010
USGS,14166000,2010-06-13,13.3,Jun,2010
USGS,14166000,2010-06-14,13.5,Jun,2010
USGS,14166000,2010-06-15,13,Jun,2010
USGS,14166000,2010-06-16,12.1,Jun,2010
USGS,14166000,2010-06-17,12,Jun,2010
USGS,14166000,2010-06-18,12.4,Jun,2010
USGS,14166000,2010-06-19,13.1,Jun,2010
USGS,14166000,2010-06-20,12.8,Jun,2010
USGS,14166000,2010-06-21,13.1,Jun,2010
USGS,14166000,2010-06-22,14.4,Jun,2010
USGS,14166000,2010-06-23,15,Jun,2010
USGS,14166000,2010-06-24,15.4,Jun,2010
USGS,14166000,2010-06-25,15.7,Jun,2010
USGS,14166000,2010-06-26,15.6,Jun,2010
USGS,14166000,2010-06-27,16.2,Jun,2010
USGS,14166000,2010-06-28,16.6,Jun,2010
USGS,14166000,2010-06-29,16,Jun,2010
USGS,14166000,2010-06-30,15.2,Jun,2010
USGS,14166000,2011-06-01,10.6,Jun,2011
USGS,14166000,2011-06-03,11.3,Jun,2011
USGS,14166000,2011-06-04,12,Jun,2011
USGS,14166000,2011-06-05,12,Jun,2011
USGS,14166000,2011-06-06,11.6,Jun,2011
USGS,14166000,2011-06-07,11.1,Jun,2011
USGS,14166000,2011-06-08,11.5,Jun,2011
USGS,14166000,2011-06-09,12.3,Jun,2011
USGS,14166000,2011-06-10,12.3,Jun,2011
USGS,14166000,2011-06-11,12.2,Jun,2011
USGS,14166000,2011-06-12,12.2,Jun,2011
USGS,14166000,2011-06-13,12.4,Jun,2011
USGS,14166000,2011-06-14,13.2,Jun,2011
USGS,14166000,2011-06-15,13.3,Jun,2011
USGS,14166000,2011-06-16,12.8,Jun,2011
USGS,14166000,2011-06-17,13.3,Jun,2011
USGS,14166000,2011-06-18,12.8,Jun,2011
USGS,14166000,2011-06-19,12.7,Jun,2011
USGS,14166000,2011-06-20,14,Jun,2011
USGS,14166000,2011-06-21,14.5,Jun,2011
USGS,14166000,2011-06-22,14.4,Jun,2011
USGS,14166000,2011-06-23,14.1,Jun,2011
USGS,14166000,2011-06-24,13.8,Jun,2011
USGS,14166000,2011-06-25,14.1,Jun,2011
USGS,14166000,2011-06-26,14.5,Jun,2011
USGS,14166000,2011-06-27,14.6,Jun,2011
USGS,14166000,2011-06-28,14.4,Jun,2011
USGS,14166000,2011-06-29,13.9,Jun,2011
USGS,14166000,2011-06-30,13.8,Jun,2011
USGS,14166000,2012-06-01,14.2,Jun,2012
USGS,14166000,2012-06-02,14,Jun,2012
USGS,14166000,2012-06-03,12.8,Jun,2012
USGS,14166000,2012-06-04,11.8,Jun,2012
USGS,14166000,2012-06-05,11.5,Jun,2012
USGS,14166000,2012-06-06,11.8,Jun,2012
USGS,14166000,2012-06-07,12.3,Jun,2012
USGS,14166000,2012-06-08,11.6,Jun,2012
USGS,14166000,2012-06-09,11.7,Jun,2012
USGS,14166000,2012-06-10,12.1,Jun,2012
USGS,14166000,2012-06-11,12.9,Jun,2012
USGS,14166000,2012-06-12,13.2,Jun,2012
USGS,14166000,2012-06-13,13.4,Jun,2012
USGS,14166000,2012-06-14,13.8,Jun,2012
USGS,14166000,2012-06-15,14.4,Jun,2012
USGS,14166000,2012-06-16,15.1,Jun,2012
USGS,14166000,2012-06-17,15.7,Jun,2012
USGS,14166000,2012-06-18,15,Jun,2012
USGS,14166000,2012-06-19,13.6,Jun,2012
USGS,14166000,2012-06-20,13.6,Jun,2012
USGS,14166000,2012-06-21,15.5,Jun,2012
USGS,14166000,2012-06-22,15,Jun,2012
USGS,14166000,2012-06-23,13.8,Jun,2012
USGS,14166000,2012-06-24,14.1,Jun,2012
USGS,14166000,2012-06-25,13.9,Jun,2012
USGS,14166000,2012-06-26,13.3,Jun,2012
USGS,14166000,2012-06-27,13.7,Jun,2012
USGS,14166000,2012-06-28,14.8,Jun,2012
USGS,14166000,2012-06-29,14.6,Jun,2012
USGS,14166000,2012-06-30,14.9,Jun,2012
USGS,14166000,2013-06-01,14,Jun,2013
USGS,14166000,2013-06-02,14.5,Jun,2013
USGS,14166000,2013-06-03,14.8,Jun,2013
USGS,14166000,2013-06-04,15.6,Jun,2013
USGS,14166000,2013-06-05,16.4,Jun,2013
USGS,14166000,2013-06-06,17,Jun,2013
USGS,14166000,2013-06-07,17.3,Jun,2013
USGS,14166000,2013-06-08,17.2,Jun,2013
USGS,14166000,2013-06-09,17.1,Jun,2013
USGS,14166000,2013-06-10,16.6,Jun,2013
USGS,14166000,2013-06-11,15.8,Jun,2013
USGS,14166000,2013-06-12,14.3,Jun,2013
USGS,14166000,2013-06-13,13.9,Jun,2013
USGS,14166000,2013-06-14,14.3,Jun,2013
USGS,14166000,2013-06-15,16,Jun,2013
USGS,14166000,2013-06-16,16.4,Jun,2013
USGS,14166000,2013-06-17,16.7,Jun,2013
USGS,14166000,2013-06-18,16.7,Jun,2013
USGS,14166000,2013-06-19,15.4,Jun,2013
USGS,14166000,2013-06-20,14.8,Jun,2013
USGS,14166000,2013-06-21,15.3,Jun,2013
USGS,14166000,2013-06-22,16.1,Jun,2013
USGS,14166000,2013-06-23,16.3,Jun,2013
USGS,14166000,2013-06-24,15.2,Jun,2013
USGS,14166000,2013-06-25,14.6,Jun,2013
USGS,14166000,2013-06-26,14.4,Jun,2013
USGS,14166000,2013-06-27,15.6,Jun,2013
USGS,14166000,2013-06-28,17.8,Jun,2013
USGS,14166000,2013-06-29,19,Jun,2013
USGS,14166000,2013-06-30,19.4,Jun,2013
USGS,14166000,2014-06-01,14.8,Jun,2014
USGS,14166000,2014-06-02,15.1,Jun,2014
USGS,14166000,2014-06-03,15.4,Jun,2014
USGS,14166000,2014-06-04,14.5,Jun,2014
USGS,14166000,2014-06-05,15.5,Jun,2014
USGS,14166000,2014-06-06,15.6,Jun,2014
USGS,14166000,2014-06-07,15.5,Jun,2014
USGS,14166000,2014-06-08,15.9,Jun,2014
USGS,14166000,2014-06-09,16.2,Jun,2014
USGS,14166000,2014-06-10,15.9,Jun,2014
USGS,14166000,2014-06-11,16,Jun,2014
USGS,14166000,2014-06-12,15.4,Jun,2014
USGS,14166000,2014-06-13,14.1,Jun,2014
USGS,14166000,2014-06-14,13.6,Jun,2014
USGS,14166000,2014-06-15,13.9,Jun,2014
USGS,14166000,2014-06-16,13.9,Jun,2014
USGS,14166000,2014-06-17,13.4,Jun,2014
USGS,14166000,2014-06-18,14,Jun,2014
USGS,14166000,2014-06-19,15.8,Jun,2014
USGS,14166000,2014-06-20,16.4,Jun,2014
USGS,14166000,2014-06-21,15.9,Jun,2014
USGS,14166000,2014-06-22,16.1,Jun,2014
USGS,14166000,2014-06-23,16.5,Jun,2014
USGS,14166000,2014-06-24,16.6,Jun,2014
USGS,14166000,2014-06-25,16.3,Jun,2014
USGS,14166000,2014-06-26,15.2,Jun,2014
USGS,14166000,2014-06-27,15.6,Jun,2014
USGS,14166000,2014-06-28,15.6,Jun,2014
USGS,14166000,2014-06-29,16.2,Jun,2014
USGS,14166000,2014-06-30,17,Jun,2014
USGS,14166000,2015-06-01,17,Jun,2015
USGS,14166000,2015-06-02,15.4,Jun,2015
USGS,14166000,2015-06-03,15.7,Jun,2015
USGS,14166000,2015-06-04,16.4,Jun,2015
USGS,14166000,2015-06-05,17.5,Jun,2015
USGS,14166000,2015-06-06,19,Jun,2015
USGS,14166000,2015-06-07,19.8,Jun,2015
USGS,14166000,2015-06-08,20.3,Jun,2015
USGS,14166000,2015-06-09,20.3,Jun,2015
USGS,14166000,2015-06-10,19.3,Jun,2015
USGS,14166000,2015-06-11,18.7,Jun,2015
USGS,14166000,2015-06-12,18.5,Jun,2015
USGS,14166000,2015-06-13,18.1,Jun,2015
USGS,14166000,2015-06-14,18.2,Jun,2015
USGS,14166000,2015-06-15,18.9,Jun,2015
USGS,14166000,2015-06-16,18.2,Jun,2015
USGS,14166000,2015-06-17,18.1,Jun,2015
USGS,14166000,2015-06-18,19.2,Jun,2015
USGS,14166000,2015-06-19,19.1,Jun,2015
USGS,14166000,2015-06-20,19.1,Jun,2015
USGS,14166000,2015-06-21,19.2,Jun,2015
USGS,14166000,2015-06-22,18.6,Jun,2015
USGS,14166000,2015-06-23,18.9,Jun,2015
USGS,14166000,2015-06-24,19.4,Jun,2015
USGS,14166000,2015-06-25,20,Jun,2015
USGS,14166000,2015-06-26,21.1,Jun,2015
USGS,14166000,2015-06-27,21.7,Jun,2015
USGS,14166000,2015-06-28,20.7,Jun,2015
USGS,14166000,2015-06-29,20,Jun,2015
USGS,14166000,2015-06-30,21.2,Jun,2015
USGS,14166000,2016-06-01,16.1,Jun,2016
USGS,14166000,2016-06-02,16.1,Jun,2016
USGS,14166000,2016-06-03,16.6,Jun,2016
USGS,14166000,2016-06-04,17.4,Jun,2016
USGS,14166000,2016-06-05,17.8,Jun,2016
USGS,14166000,2016-06-06,17.9,Jun,2016
USGS,14166000,2016-06-07,17.9,Jun,2016
USGS,14166000,2016-06-08,16.7,Jun,2016
USGS,14166000,2016-06-09,15.1,Jun,2016
USGS,14166000,2016-06-10,14.9,Jun,2016
USGS,14166000,2016-06-11,15.1,Jun,2016
USGS,14166000,2016-06-12,15.5,Jun,2016
USGS,14166000,2016-06-13,15.5,Jun,2016
USGS,14166000,2016-06-14,14.8,Jun,2016
USGS,14166000,2016-06-15,14.4,Jun,2016
USGS,14166000,2016-06-16,14.5,Jun,2016
USGS,14166000,2016-06-17,14.9,Jun,2016
USGS,14166000,2016-06-18,15.4,Jun,2016
USGS,14166000,2016-06-19,15.2,Jun,2016
USGS,14166000,2016-06-20,16.1,Jun,2016
USGS,14166000,2016-06-21,17.2,Jun,2016
USGS,14166000,2016-06-22,17.7,Jun,2016
USGS,14166000,2016-06-23,17.2,Jun,2016
USGS,14166000,2016-06-24,16.6,Jun,2016
USGS,14166000,2016-06-25,17.2,Jun,2016
USGS,14166000,2016-06-26,18.2,Jun,2016
USGS,14166000,2016-06-27,19.3,Jun,2016
USGS,14166000,2016-06-28,19.3,Jun,2016
USGS,14166000,2016-06-29,18.9,Jun,2016
USGS,14166000,2016-06-30,18.8,Jun,2016
USGS,14166000,2017-06-01,14.1,Jun,2017
